Masked Account ID,Maked Primary Campaign,Stage,Account Type,Billing Zip/Postal Code,Fiscal Period,Close Date,Amount
0531,None,Closed Won,Household,90023,Q1-2019,3/15/2019,250
0533,None,Closed Won,Household,91303,Q2-2017,4/27/2017,100
0533,None,Closed Won,Household,91303,Q3-2017,9/7/2017,25
0538,None,Closed Won,Household,91364,Q2-2022,4/14/2022,80
0539,None,Closed Won,Household,11020,Q3-2019,7/24/2019,250
0539,None,Closed Won,Household,11020,Q4-2021,11/16/2021,250
0541,None,Closed Won,Household,90034,Q4-2018,10/9/2018,250
0541,None,Closed Won,Household,90034,Q2-2019,5/12/2019,250
0541,None,Closed Won,Household,90034,Q4-2017,12/20/2017,120
0541,None,Closed Won,Household,90034,Q4-2020,12/16/2020,100
0542,None,Closed Won,Household,,Q4-2019,12/20/2019,250
0542,None,Closed Won,Household,,Q4-2017,12/20/2017,100
0547,None,Closed Won,Household,90077,Q2-2018,4/30/2018,150
0547,None,Closed Won,Household,90077,Q4-2017,10/8/2017,250
0549,None,Closed Won,Household,95030,Q3-2019,7/22/2019,250
0553,None,Closed Won,Household,,Q3-2019,9/20/2019,250
0555,None,Closed Won,Household,91436,Q4-2021,12/27/2021,250
0570,None,Closed Won,Household,90210,Q4-2017,10/5/2017,250
0576,None,Closed Won,Household,90210,Q4-2018,12/29/2018,250
0577,None,Closed Won,Household,91006,Q2-2017,6/9/2017,250
0582,None,Closed Won,Household,,Q3-2018,9/26/2018,250
0584,None,Closed Won,Household,90049,Q4-2019,12/12/2019,250
0584,None,Closed Won,Household,90049,Q4-2020,12/15/2020,250
0584,None,Closed Won,Household,90049,Q4-2021,12/5/2021,500
0588,None,Closed Won,Household,91301,Q2-2017,6/15/2017,250
0592,None,Closed Won,Household,,Q3-2018,9/26/2018,250
0601,None,Closed Won,Household,91423,Q4-2018,12/25/2018,250
0602,None,Closed Won,Household,,Q4-2014,12/8/2014,250
0604,None,Closed Won,Corporate,91423,Q4-2016,11/16/2016,250
0605,None,Closed Won,Corporate,,Q2-2017,6/9/2017,250
0614,None,Closed Won,Household,80206,Q4-2017,11/25/2017,200
0617,None,Closed Won,Household,90056,Q4-2019,10/15/2019,100
0617,None,Closed Won,Household,90056,Q1-2023,3/3/2023,150
0619,None,Closed Won,Household,,Q4-2017,12/22/2017,200
0620,None,Closed Won,Household,90066,Q1-2023,2/13/2023,200
0620,None,Closed Won,Household,90066,Q4-2020,10/9/2020,200
0627,None,Closed Won,Corporate,08543,Q1-2015,2/27/2015,200
0628,None,Closed Won,Corporate,60604,Q4-2014,12/8/2014,200
0631,None,Closed Won,Household,91367,Q1-2016,3/9/2016,200
0631,None,Closed Won,Household,91367,Q4-2015,11/30/2015,25
0633,None,Closed Won,Household,90077,Q2-2020,4/20/2020,200
0635,None,Closed Won,Household,44022,Q4-2020,10/24/2020,200
0636,None,Closed Won,Household,91106,Q3-2016,8/15/2016,200
0641,None,Closed Won,Household,,Q4-2014,12/3/2014,200
0642,None,Closed Won,Household,,Q4-2014,12/23/2014,200
0643,None,Closed Won,Household,,Q4-2014,12/8/2014,200
0644,None,Closed Won,Household,,Q2-2020,6/21/2020,200
0646,None,Closed Won,Household,,Q4-2014,12/11/2014,200
0650,None,Closed Won,Corporate,90266,Q3-2014,9/15/2014,200
0651,None,Closed Won,Household,,Q4-2014,12/8/2014,200
0652,None,Closed Won,Household,90049,Q4-2014,12/3/2014,200
0663,None,Closed Won,Household,07733,Q1-2018,1/18/2018,177
0668,None,Closed Won,Household,90034,Q1-2014,2/5/2014,153
0669,None,Closed Won,Corporate,07068,Q1-2017,2/21/2017,150
0669,None,Closed Won,Corporate,07068,Q4-2014,10/20/2014,10000
0677,None,Closed Won,Household,91362,Q3-2018,9/28/2018,150
0678,None,Closed Won,Household,90024,Q3-2018,8/20/2018,25
0681,None,Closed Won,Household,,Q4-2017,12/1/2017,150
0682,None,Closed Won,Household,90291,Q4-2020,11/22/2020,150
0699,None,Closed Won,Corporate,,Q4-2020,10/5/2020,150
0699,None,Closed Won,Corporate,,Q2-2020,5/20/2020,100
0699,None,Closed Won,Corporate,,Q1-2020,1/23/2020,120
0699,None,Closed Won,Corporate,,Q4-2020,10/21/2020,105
0699,None,Closed Won,Corporate,,Q4-2020,12/7/2020,260
0704,None,Closed Won,Household,90222,Q3-2019,8/14/2019,110
0705,None,Closed Won,Household,92108,Q4-2018,12/16/2018,101
0714,None,Closed Won,Household,90035,Q3-2017,9/13/2017,100
0715,None,Closed Won,Household,,Q4-2014,12/23/2014,100
0717,None,Closed Won,Household,93065,Q4-2018,10/1/2018,100
0724,None,Closed Won,Household,91506,Q3-2020,8/7/2020,100
0724,None,Closed Won,Household,91506,Q2-2022,6/30/2022,100
0726,None,Closed Won,Household,,Q4-2014,12/8/2014,100
0729,None,Closed Won,Household,91423,Q4-2020,11/27/2020,100
0730,None,Closed Won,Household,,Q4-2014,12/8/2014,100
0735,None,Closed Won,Household,,Q4-2019,10/1/2019,100
0735,None,Closed Won,Household,,Q4-2019,11/1/2019,100
0735,None,Closed Won,Household,,Q4-2019,12/20/2019,20
0736,None,Closed Won,Household,,Q3-2018,9/22/2018,100
0737,None,Closed Won,Household,90025,Q4-2017,10/11/2017,100
0739,None,Closed Won,Household,90015,Q3-2018,9/20/2018,100
0741,None,Closed Won,Household,,Q4-2014,12/8/2014,100
0741,None,Closed Won,Household,,Q4-2014,12/8/2014,100
0745,None,Closed Won,Household,,Q3-2018,9/24/2018,100
0751,None,Closed Won,Household,,Q1-2015,1/21/2015,100
0752,None,Closed Won,Household,82009,Q3-2014,7/13/2014,100
0755,None,Closed Won,Household,91607,Q4-2014,12/22/2014,100
0760,None,Closed Won,Household,,Q3-2014,9/3/2014,100
0775,None,Closed Won,Household,90266,Q1-2019,1/12/2019,100
0778,None,Closed Won,Household,91360,Q3-2016,9/19/2016,100
0783,None,Closed Won,Household,90065,Q2-2017,5/12/2017,10
0783,None,Closed Won,Household,90065,Q4-2016,12/17/2016,20
0783,None,Closed Won,Household,90065,Q4-2017,11/1/2017,20
0785,None,Closed Won,Household,91377,Q4-2018,10/12/2018,100
0787,None,Closed Won,Household,96150,Q4-2018,10/31/2018,100
0788,None,Closed Won,Household,20020,Q3-2020,9/16/2020,100
0789,None,Closed Won,Household,59106,Q3-2015,8/4/2015,100
0805,None,Closed Won,Household,91770,Q4-2016,11/13/2016,100
0807,None,Closed Won,Household,90066,Q4-2014,12/28/2014,100
0807,None,Closed Won,Household,90066,Q4-2015,12/30/2015,50
0807,None,Closed Won,Household,90066,Q4-2017,12/31/2017,50
0811,None,Closed Won,Household,90049,Q4-2016,12/13/2016,100
0811,None,Closed Won,Household,90049,Q4-2014,12/22/2014,50
0812,None,Closed Won,Household,90048,Q4-2020,12/23/2020,76
0812,None,Closed Won,Household,90048,Q4-2019,12/20/2019,75
0812,None,Closed Won,Household,90048,Q4-2021,12/30/2021,100
0816,None,Closed Won,Household,90291,Q2-2022,4/14/2022,100
0817,None,Closed Won,Household,71273,Q2-2019,4/23/2019,100
0819,None,Closed Won,Household,90134,Q3-2014,8/20/2014,100
0823,None,Closed Won,Household,91436,Q2-2017,6/15/2017,100
0833,None,Closed Won,Household,,Q4-2018,11/6/2018,100
0836,None,Closed Won,Household,,Q4-2014,12/12/2014,100
0840,None,Closed Won,Household,90066,Q4-2014,12/28/2014,100
0844,None,Closed Won,Household,91377,Q1-2017,3/28/2017,100
0855,None,Closed Won,Household,91320,Q4-2019,10/19/2019,100
0870,None,Closed Won,Household,90018,Q2-2020,5/18/2020,100
0870,None,Closed Won,Household,90018,Q1-2020,2/5/2020,23.6
0871,None,Closed Won,Household,90404,Q3-2016,8/29/2016,100
0880,None,Closed Won,Household,,Q3-2018,9/26/2018,100
0881,None,Closed Won,Household,,Q4-2017,12/3/2017,100
0886,None,Closed Won,Household,,Q4-2022,12/7/2022,1000
0886,None,Closed Won,Household,,Q4-2015,10/26/2015,562.64
0886,None,Closed Won,Household,,Q3-2016,9/22/2016,541.32
0886,None,Closed Won,Household,,Q4-2017,12/6/2017,510
0886,None,Closed Won,Household,,Q4-2020,11/24/2020,500
0890,None,Closed Won,Corporate,23601,Q4-2019,10/15/2019,100
0891,None,Closed Won,Corporate,91803,Q3-2014,8/20/2014,82.12
0891,None,Closed Won,Corporate,91803,Q4-2015,12/31/2015,120.47
0899,None,Closed Won,Household,,Q2-2020,6/6/2020,65
0899,None,Closed Won,Household,,Q2-2020,6/6/2020,15
0903,None,Closed Won,Household,,Q2-2015,5/14/2015,60
0904,None,Closed Won,Household,91311,Q3-2019,8/14/2019,55
0904,None,Closed Won,Household,91311,Q3-2016,8/7/2016,40
0906,None,Closed Won,Household,91405,Q3-2019,8/14/2019,55
0907,None,Closed Won,Household,90018,Q3-2019,8/15/2019,55
0908,None,Closed Won,Household,90744,Q3-2019,8/15/2019,55
0909,None,Closed Won,Household,90744,Q3-2019,8/14/2019,55
0909,None,Closed Won,Household,90744,Q4-2020,10/20/2020,20
0910,None,Closed Won,Corporate,91201,Q1-2019,3/12/2019,75
0911,None,Closed Won,Corporate,,Q3-2018,9/30/2018,75
0912,None,Closed Won,Corporate,82426,Q4-2018,11/26/2018,66.98
0912,None,Closed Won,Corporate,82426,Q4-2019,11/18/2019,42.41
0912,None,Closed Won,Corporate,82426,Q4-2017,11/7/2017,36.32
0912,None,Closed Won,Corporate,82426,Q4-2020,11/24/2020,35.01
